,count,sample,catalogue,Taxo_level,species,genus,family,order,class,phylum,superkingdom,knowledge
137,25,msp_0143,gut,species,Parabacteroides sp. CAG:409,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
525,24,msp_0553,gut,family,unclassified Christensenellales CAG-74,unclassified Christensenellales CAG-74,Christensenellales CAG-74,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
1332,24,msp_1558,gut,family,unclassified Anaerovoracaceae,unclassified Anaerovoracaceae,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,unknown
632,24,msp_0671,gut,species,Turicibacter sanguinis,Turicibacter,unclassified Haloplasmatales,Haloplasmatales,Bacilli,Firmicutes,Bacteria,known
596,24,msp_0632,gut,genus,unclassified Ruthenibacterium,Ruthenibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
956,24,msp_1043,gut,species,[Mycoplasma] sp. CAG:611,Bacilli RF39 CAG-611 CAG-611,Bacilli RF39 CAG-611,Bacilli RF39,Bacilli,Firmicutes,Bacteria,unknown
107,24,msp_0112,gut,species,Blautia hydrogenotrophica,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
61,24,msp_0064,gut,species,[Alistipes] sp. CAG:435,Rikenellaceae 2 RC9,Rikenellaceae 2,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
221,24,msp_0233,gut,genus,unclassified Hungatella,Hungatella,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
384,24,msp_0403,gut & oral,species,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
212,24,msp_0223,gut,species,[Clostridium] sp. L2-50,Coprococcus,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
421,24,msp_0440,gut,genus,unclassified Lachnospiraceae C EuR,Lachnospiraceae C EuR,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
358,24,msp_0376,gut,species,[Bacteroides] pectinophilus,unclassified Lachnospiraceae H,Lachnospiraceae H,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
1150,24,msp_1293,gut,species,[Clostridiales] bacterium UBA643,Mogibacterium,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,unknown
981,23,msp_1076,gut,genus,unclassified Bilophila,Bilophila,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota,Bacteria,unknown
1015,23,msp_1120,gut,genus,unclassified Lachnospiraceae C EuR,Lachnospiraceae C EuR,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
761,23,msp_0811,gut,species,[Staphylococcus] sp. CAG:324,unclassified Bacilli ML615J-28 CAG-313,Bacilli ML615J-28 CAG-313,Bacilli ML615J-28,Bacilli,Firmicutes,Bacteria,unknown
322,23,msp_0339,gut,genus,unclassified Prevotella,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
300,23,msp_0317,gut,genus,unclassified Oscillospirales 4 UBA5446,Oscillospirales 4 UBA5446,Oscillospirales 4,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
534,23,msp_0562,gut,species,Enorma massiliensis,Enorma,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
293,23,msp_0309,gut,genus,unclassified Blautia,Blautia,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
108,22,msp_0113,gut,species,Blautia producta 2,Blautia,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
182,22,msp_0191,gut,genus,unclassified Butyricimonas,Butyricimonas,Marinifilaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
637,22,msp_0676,gut,family,unclassified Oscillospirales 1 CAG-272,unclassified Oscillospirales 1 CAG-272,Oscillospirales 1 CAG-272,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
667,22,msp_0707,gut,genus,unclassified Anaerovoracaceae CAG-145,Anaerovoracaceae CAG-145,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,unknown
665,22,msp_0705,gut,genus,unclassified Hungatella,Hungatella,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
217,22,msp_0229,gut,species,Prevotella sp. 885,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
517,22,msp_0545,gut,species,[Pseudoflavonifractor] sp. An184,Lawsonibacter,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
611,22,msp_0647,gut,species,Clostridia bacterium UC5.1-2E3,Lachnoclostridium,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
41,22,msp_0044,gut,species,Hungatella hathewayi,Hungatella,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
235,21,msp_0247,gut,species,[Clostridium] sp. 44_14 & CAG:277,Lachnospiraceae B TF01-11,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
675,21,msp_0716,gut,genus,unclassified Acutalibacteraceae 3 UBA737,Acutalibacteraceae 3 UBA737,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
260,21,msp_0272,gut,genus,unclassified Blautia A,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1353,21,msp_1590c,gut,species,Holdemania sp. Marseille-P2844,Holdemania,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,unknown
976,21,msp_1069,gut,family,unclassified Clostridiales 2a,unclassified Clostridiales 2a,Clostridiales 2a,Clostridiales 2,Clostridia,Firmicutes,Bacteria,unknown
504,21,msp_0529,gut,species,[Eubacterium] sp. CAG:581,Acutalibacteraceae 3 CAG-581,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
1638,21,msp_2269,oral,species,Mogibacterium diversum,Mogibacterium,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,known
279,21,msp_0294,gut,species,Butyrivibrio sp. CAG:318,Butyrivibrio,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
737,20,msp_0785,gut,species,Collinsella tanakaei,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
673,20,msp_0713,gut,species,Enterocloster citroniae,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
1290,20,msp_1491,gut,species,[Clostridium] sp. 2789STDY5834920,unclassified Lachnospiraceae J,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
532,20,msp_0560,gut,family,unclassified Christensenellales CAG-74,unclassified Christensenellales CAG-74,Christensenellales CAG-74,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
598,20,msp_0634,gut,genus,unclassified Lawsonibacter,Lawsonibacter,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
728,20,msp_0776,gut,family,unclassified Anaerovoracaceae,unclassified Anaerovoracaceae,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,unknown
271,20,msp_0286,gut,species,Ruminococcus sp. 37_24 & sp. 2789STDY5834934,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
646,20,msp_0686,gut,species,[Ruminococcus] sp. CAG:382,unclassified Oscillospirales 1 CAG-382,Oscillospirales 1 CAG-382,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
1059,20,msp_1180,gut,genus,unclassified Bacilli RF39 CAG-302 CAG-302,Bacilli RF39 CAG-302 CAG-302,Bacilli RF39 CAG-302,Bacilli RF39,Bacilli,Firmicutes,Bacteria,unknown
657,20,msp_0697,gut,species,Clostridium sp. CAG:221,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
257,20,msp_0269,gut,genus,unclassified Oscillospirales 5 CAG-110,Oscillospirales 5 CAG-110,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
1358,20,msp_1599,gut,species,Streptococcus koreensis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
878,20,msp_0953,gut,family,unclassified Ruminococcaceae,unclassified Ruminococcaceae,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
591,20,msp_0627,gut & oral,species,Bifidobacterium breve,Bifidobacterium,Bifidobacteriaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
474,20,msp_0497,gut & oral,species,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
1335,20,msp_1564,gut,family,unclassified Christensenellales CAG-74,unclassified Christensenellales CAG-74,Christensenellales CAG-74,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
1199,20,msp_1362,gut,species,Holdemania massiliensis,Holdemania,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,known
588,20,msp_0624,gut,family,unclassified Oscillospirales 2,unclassified Oscillospirales 2,Oscillospirales 2,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
718,20,msp_0765,gut,genus,unclassified Prevotellamassilia,Prevotellamassilia,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
961,20,msp_1049,gut,species,[Clostridium] sp. CAG:451,Bacilli RF39 CAG-611 CAG-451,Bacilli RF39 CAG-611,Bacilli RF39,Bacilli,Firmicutes,Bacteria,unknown
349,20,msp_0367,gut,species,Ruminococcus champanellensis,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
659,19,msp_0699,gut,family,unclassified Oscillospirales 1 CAG-272,unclassified Oscillospirales 1 CAG-272,Oscillospirales 1 CAG-272,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
791,19,msp_0847,gut,species,Flavobacteriales bacterium UBA1820,unclassified Flavobacteriales UBA1820,Flavobacteriales UBA1820,Flavobacteriales,Flavobacteriia,Bacteroidota,Bacteria,unknown
606,19,msp_0642,gut,species,Proteobacteria bacterium CAG:495,Alphaproteobacteria RF32 CAG-239 CAG-495,Alphaproteobacteria RF32 CAG-239,Alphaproteobacteria RF32,Alphaproteobacteria,Proteobacteria,Bacteria,unknown
222,19,msp_0234,gut,species,[Catabacter] sp. UBA1685 / Clostridia bacterium CIM:MAG 110_1,unclassified Christensenellales CAG-138,Christensenellales CAG-138,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
269,19,msp_0282,gut,species,Ruminococcus sp. CAG:330,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
769,19,msp_0821,gut,species,Firmicutes bacterium CAG:313,unclassified Bacilli ML615J-28 CAG-313,Bacilli ML615J-28 CAG-313,Bacilli ML615J-28,Bacilli,Firmicutes,Bacteria,unknown
229,19,msp_0241,gut & oral,species,Klebsiella variicola,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,known
254,19,msp_0266,gut,species,Fusobacterium ulcerans,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteriota,Bacteria,known
395,19,msp_0414,gut,species,Duodenibacillus massiliensis,Duodenibacillus,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria,known
780,19,msp_0835,gut,species,Clostridiales bacterium 41_21_two_genomes,Acutalibacteraceae 2 CAG-528,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
215,19,msp_0226,gut,species,Desulfovibrionaceae bacterium CIM:MAG 900,unclassified Desulfovibrionaceae,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota,Bacteria,unknown
174,19,msp_0183,gut,species,[Acetobacter] sp. 46_36 & CAG:267 / Alphaproteobacteria bacterium UBA7083,Alphaproteobacteria RF32 CAG-239 CAG-267,Alphaproteobacteria RF32 CAG-239,Alphaproteobacteria RF32,Alphaproteobacteria,Proteobacteria,Bacteria,unknown
416,19,msp_0435,gut,genus,unclassified Dysosmobacter - Oscillibacter,Dysosmobacter - Oscillibacter,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
811,19,msp_0872,gut,species,[Clostridium] sp. CAG:567,unclassified Clostridiales 2b,Clostridiales 2b,Clostridiales 2,Clostridia,Firmicutes,Bacteria,unknown
211,19,msp_0222,gut,species,[Clostridium] sp. CAG:354,unclassified Clostridiales 2c,Clostridiales 2c,Clostridiales 2,Clostridia,Firmicutes,Bacteria,unknown
305,19,msp_0322,gut,genus,unclassified Acutalibacteraceae 1 CAG-177,Acutalibacteraceae 1 CAG-177,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
1598,19,msp_0486,gut & oral,species,Lactococcus lactis subsp. lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
815,19,msp_0877,gut,species,Massiliomicrobiota timonensis,Massiliomicrobiota,Erysipelatoclostridiaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,known
165,18,msp_0174,gut,species,Klebsiella quasipneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,known
607,18,msp_0643,gut,genus,unclassified Oscillospirales 5 CAG-110,Oscillospirales 5 CAG-110,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
883,18,msp_0961,gut,family,unclassified Clostridiales 2a,unclassified Clostridiales 2a,Clostridiales 2a,Clostridiales 2,Clostridia,Firmicutes,Bacteria,unknown
1008,18,msp_1111,gut,species,[Clostridium] sp. CAG:568,unclassified Bacilli RFN20 CAG-288,Bacilli RFN20 CAG-288,Bacilli RFN20,Bacilli,Firmicutes,Bacteria,unknown
572,18,msp_0605,gut,genus,unclassified Oscillospiraceae CAG-129,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
993,18,msp_1090,gut,family,unclassified Christensenellaceae,unclassified Christensenellaceae,Christensenellaceae,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
873,18,msp_0947,gut,species,[Clostridium] sp. 26_22,unclassified Clostridiales 2a,Clostridiales 2a,Clostridiales 2,Clostridia,Firmicutes,Bacteria,unknown
439,18,msp_0458,gut,species,Catenibacterium mitsuokai,Catenibacterium,Erysipelatoclostridiaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,known
509,18,msp_0535,gut,species,Prevotellaceae bacterium CIM:MAG 724,unclassified Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
806,18,msp_0867,gut,genus,unclassified Oscillospirales 5 CAG-110,Oscillospirales 5 CAG-110,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
733,18,msp_0781,gut,family,unclassified Christensenellales CAG-74,unclassified Christensenellales CAG-74,Christensenellales CAG-74,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
423,18,msp_0442,gut,genus,unclassified Flavonifractor,Flavonifractor,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
499,18,msp_0524,gut,species,Mordavella sp. Marseille-P3756,Merdimonas-Mordavella,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
688,18,msp_0732,gut,species,[Clostridiales] bacterium CIM:MAG 442,unclassified Christensenellales CAG-138,Christensenellales CAG-138,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
1007,17,msp_1110,gut,species,[Coprobacillus] sp. CAG:605,Bacilli RF39 CAG-1000 CAG-605,Bacilli RF39 CAG-1000,Bacilli RF39,Bacilli,Firmicutes,Bacteria,unknown
1334,17,msp_1562,gut,genus,unclassified Lachnoclostridium 2,Lachnoclostridium 2,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
925,17,msp_1006,gut & oral,species,Limosilactobacillus fermentum,Limosilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
781,17,msp_0837,gut,genus,unclassified Solobacterium,Solobacterium,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,unknown
576,17,msp_0612,gut,genus,unclassified Oscillospiraceae CAG-129,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
284,17,msp_0300,gut,genus,unclassified Prevotellamassilia,Prevotellamassilia,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
821,17,msp_0885,gut,genus,unclassified Lachnospiraceae C EuR,Lachnospiraceae C EuR,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
570,17,msp_0602c,gut,species,Streptococcus infantis 2,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,unknown
672,17,msp_0712,gut & oral,species,Ligilactobacillus salivarius,Ligilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
330,17,msp_0347,gut,species,Clostridium paraputrificum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
1021,17,msp_1128,gut,genus,unclassified Agathobaculum,Agathobaculum,Butyricicoccaceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
907,17,msp_0988,gut,genus,unclassified Oscillospiraceae CAG-129,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
1192,17,msp_1353,gut,genus,unclassified Marvinbryantia,Marvinbryantia,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1016,17,msp_1122,gut,species,Firmicutes bacterium CAG:582,Bacilli RF39 CAG-1000 CAG-582,Bacilli RF39 CAG-1000,Bacilli RF39,Bacilli,Firmicutes,Bacteria,unknown
1258,17,msp_1444,gut,species,Ruminococcaceae bacterium D5,Negativibacillus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
940,17,msp_1022,gut,family,unclassified Monoglobaceae,unclassified Monoglobaceae,Monoglobaceae,Monoglobales,Clostridia,Firmicutes,Bacteria,unknown
1630,17,msp_2240,oral,species,Rothia mucilaginosa,Rothia,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
1281,17,msp_1479,gut,genus,unclassified Clostridium,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
960,17,msp_1047,gut,genus,unclassified Bacilli RF39 CAG-1000 CAG-460,Bacilli RF39 CAG-1000 CAG-460,Bacilli RF39 CAG-1000,Bacilli RF39,Bacilli,Firmicutes,Bacteria,unknown
5,17,msp_0006,gut,species,Blastocystis sp. subtype 4,Blastocystis,Eukaryota,Eukaryota,Eukaryota,Eukaryota,Eukaryota,known
502,17,msp_0527,gut,species,[Clostridium] sp. CAG:307,unclassified Acholeplasmatales,unclassified Acholeplasmatales,Acholeplasmatales,Bacilli,Firmicutes,Bacteria,unknown
35,17,msp_0038,gut,family,unclassified Victivallales UBA1829,unclassified Victivallales UBA1829,Victivallales UBA1829,Victivallales,Lentisphaeria,Verrucomicrobiota,Bacteria,unknown
245,16,msp_0257,gut,species,Prevotella sp. UBA634,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
1164,16,msp_1312,gut,genus,unclassified Dysosmobacter - Oscillibacter,Dysosmobacter - Oscillibacter,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
566,16,msp_0597,gut,genus,unclassified Oscillospirales 5 CAG-110,Oscillospirales 5 CAG-110,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
627,16,msp_0665,gut,species,[Clostridiales] Family XIII bacterium CIM:MAG 1057,unclassified Anaerovoracaceae,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,unknown
131,16,msp_0137,gut,genus,unclassified Prevotella,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
405,16,msp_0424,gut,family,unclassified Christensenellales CAG-74,unclassified Christensenellales CAG-74,Christensenellales CAG-74,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
414,16,msp_0433,gut,genus,unclassified Lachnospiraceae B CAG-882,Lachnospiraceae B CAG-882,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
777,16,msp_0831,gut,species,Faecalicoccus pleomorphus,Faecalicoccus,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,known
75,16,msp_0078,gut,species,Prevotella sp. CAG:732,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
465,16,msp_0488,gut,species,Acidaminococcus massiliensis,Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes,Bacteria,known
759,16,msp_0808,gut,species,[Clostridium] sp. CAG:288,unclassified Bacilli RFN20 CAG-288,Bacilli RFN20 CAG-288,Bacilli RFN20,Bacilli,Firmicutes,Bacteria,unknown
963,16,msp_1051,gut,genus,unclassified Gordonibacter,Gordonibacter,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,unknown
519,16,msp_0547,gut,family,unclassified Bacteroidaceae,unclassified Bacteroidaceae,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
1018,16,msp_1125,gut,species,Eggerthella sp. CAG:368,Eggerthella,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,unknown
1637,16,msp_2265,oral,species,[Actinomyces] bouchesdurhonensis,Pauljensenia,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
1304,16,msp_1515,gut,genus,unclassified Enterocloster,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
652,16,msp_0692,gut,species,[Ruminococcaceae] bacterium CIM:MAG 1028_2,unclassified Oscillospirales 1 CAG-272,Oscillospirales 1 CAG-272,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
240,16,msp_0252,gut,genus,unclassified Ruminiclostridium,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
656,16,msp_0696,gut,species,Acidaminococcus fermentans,Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes,Bacteria,known
507,16,msp_0533,gut,genus,unclassified Agathobacter,Agathobacter,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
554,16,msp_0583,gut,genus,unclassified Fournierella,Fournierella,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
336,16,msp_0353,gut,species,Clostridiales bacterium CIM:MAG 424,unclassified Clostridiales 1e,Clostridiales 1e,Clostridiales 1,Clostridia,Firmicutes,Bacteria,unknown
872,16,msp_0946,gut,species,Collinsella intestinalis,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
219,16,msp_0231,gut,genus,unclassified Absiella-Longicatena,Absiella-Longicatena,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,unknown
1276,16,msp_1473c,gut,,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,unknown
1356,16,msp_1596,gut,species,Parolsenella catena,Parolsenella,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
287,15,msp_0303,gut,genus,unclassified Oscillospirales 4 UBA5446,Oscillospirales 4 UBA5446,Oscillospirales 4,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
778,15,msp_0832,gut,species,Streptococcus pasteurianus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
150,15,msp_0157,gut,species,Klebsiella aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,known
538,15,msp_0566,gut,family,unclassified Oscillospirales 5,unclassified Oscillospirales 5,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
839,15,msp_0904,gut,species,[Ruminococcaceae] bacterium UBA5891,Acutalibacteraceae 3 UBA737,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
1184,15,msp_1343,gut,family,unclassified Clostridiales 2c,unclassified Clostridiales 2c,Clostridiales 2c,Clostridiales 2,Clostridia,Firmicutes,Bacteria,unknown
288,15,msp_0304,gut,species,[Alistipes] sp. CAG:514,Rikenellaceae 2 RC9,Rikenellaceae 2,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
205,15,msp_0216,gut,species,Odoribacter laneus,Odoribacter,Marinifilaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
126,15,msp_0132,gut,species,Coprobacillus cateniformis,Coprobacillus,Erysipelatoclostridiaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,known
1643,15,msp_2305,oral,species,Streptococcus rubneri,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
347,15,msp_0365,gut,genus,unclassified Frisingicoccus,Frisingicoccus,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
567,15,msp_0598,gut,species,Prevotella sp. CAG:1092,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
378,15,msp_0397,gut,genus,unclassified Acetatifactor,Acetatifactor,Lachnospiraceae G,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1439,15,msp_1724,gut,species,Phocea massiliensis,Phocea,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
620,15,msp_0656,gut,species,[Succinatimonas] sp. UBA2849 & sp. CAG:777,Succinivibrio,Succinivibrionaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,unknown
1607,15,msp_1234,gut & oral,species,Parvimonas micra,Parvimonas,Helcococcaceae-Ezakiellaceae,Tissierellales,Clostridia,Firmicutes,Bacteria,known
1069,14,msp_1195,gut,family,unclassified Peptococcaceae,unclassified Peptococcaceae,Peptococcaceae,Peptococcales,Peptococcia,Firmicutes,Bacteria,unknown
752,14,msp_0801,gut,species,Sutterella parvirubra,Sutterella,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria,known
629,14,msp_0667,gut,genus,unclassified Paraprevotella,Paraprevotella,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
685,14,msp_0728,gut,family,unclassified Clostridiales 1e,unclassified Clostridiales 1e,Clostridiales 1e,Clostridiales 1,Clostridia,Firmicutes,Bacteria,unknown
1257,14,msp_1443,gut,genus,unclassified Acutalibacteraceae 3 UBA1417,Acutalibacteraceae 3 UBA1417,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
774,14,msp_0828,gut,species,Massiliomicrobiota sp. An80 & An105 & An134 & An142,Massiliomicrobiota,Erysipelatoclostridiaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,unknown
744,14,msp_0792,gut,species,Clostridium perfringens,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
